Annual Income,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Bankruptcies,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Default,Id,Credit Score,Years in current job_0,Years in current job_1,Years in current job_2,Years in current job_3,Years in current job_4,Years in current job_5,Years in current job_6,Years in current job_7,Years in current job_8,Years in current job_9,Years in current job_10,Term_Long Term,Term_Short Term,Home Ownership_2,Home Ownership_1,Purpose_1,Purpose_2,Purpose_3
1025487,0,15,15,1181730,0,0,264968,394972,18373,1,1,737,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
805068,0,8,22,147400,1,1,121396,95855,11338,0,3,694,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
776264,0,13,13,385836,1,0,125840,93309,7180,0,4,719,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1163256,0,12,14,366784,0,0,337304,165680,18692,1,5,729,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1040060,0,13,12,330374,0,0,250888,89015,19761,1,7,705,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,17,15,0,1,1,129734,19,17,0,8,729,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,10,24,511302,0,0,572880,205333,17613,1,9,729,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1163256,0,7,11,256322,0,0,220858,187492,14592,0,10,729,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1828560,0,12,17,839080,0,0,441100,402914,15528,0,11,737,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
933432,0,8,14,443608,0,0,337766,315305,19446,0,12,706,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
848464,0,9,18,296186,0,0,145134,41439,12939,0,15,727,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,6,17,899492,0,0,313038,538346,18844,1,16,729,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1401744,0,9,29,387222,0,0,553586,201989,13434,1,18,695,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
